lin-subject	nonlin-subject	lin-group	nonlin-group	lin-group-emb	nonlin-group-emb	nonlin-group finetuned	nonlin-group-emb finetuned
0.591525424	0.469387771	0.15084745	0.176470593	0.149152547	0.490662158	0.508503418	0.640677965
0.303672316	0.283898313	0.09039548	0.082956263	0.097457625	0.318116993	0.305084753	0.446327681
0.121468925	0.088983053	0.019774012	0.043740575	0.035310734	0.112696148	0.152542376	0.144067796
0.680790966	0.610169508	0.055084746	0.116138768	0.062146895	0.52285713	0.577683636	0.699152549
0.885593221	0.758474595	0.351694912	0.340874821	0.394067794	0.705128193	0.774011323	0.864406784
0.662429377	0.583333313	0.148305088	0.150829567	0.155367225	0.471509963	0.553672334	0.648305088
0.730225995	0.632768393	0.200564966	0.265460041	0.257062137	0.637268841	0.638418098	0.76977401
0.159604517	0.158192098	0.09039548	0.095022628	0.088983051	0.212553501	0.228813565	0.288135596
0.579096052	0.536723137	0.129943505	0.170437412	0.142655373	0.464949936	0.524011314	0.631355941
0.627118642	0.531073451	0.163841814	0.193061848	0.207627118	0.454415947	0.540960472	0.644067799
0.223163842	0.206214696	0.070621468	0.117647064	0.080508478	0.289999992	0.293785319	0.347457627
0.151129942	0.175141245	0.057909604	0.061840123	0.049435027	0.159771755	0.187853112	0.221751411
0.06497175	0.053672317	0.028248588	0.040723983	0.046610169	0.061253563	0.084745765	0.080508473
0.483050848	0.435028255	0.076271184	0.093514333	0.076271184	0.428164989	0.481638432	0.557909603
0.412429377	0.377118647	0.115819208	0.150829567	0.131355926	0.388252169	0.432203401	0.491525422
